24 	2.7818e-07 	1.5286e-07 	2.12e-07 	1.399e-06 	
32 	3.7473e-07 	1.27917e-07 	3.25e-07 	1.373e-06 	
48 	8.2914e-07 	1.65928e-06 	6.57e-07 	1.7338e-05 	
64 	1.88717e-06 	6.66744e-08 	1.856e-06 	2.535e-06 	
96 	3.7295e-06 	1.97305e-07 	3.639e-06 	5.561e-06 	
128 	7.92037e-06 	3.35224e-06 	7.45e-06 	4.1225e-05 	
192 	2.58598e-05 	7.15145e-06 	2.4208e-05 	9.3842e-05 	
256 	4.4167e-05 	9.60394e-07 	4.3623e-05 	5.0003e-05 	
384 	0.000104978 	1.2216e-05 	9.8238e-05 	0.000159751 	
512 	0.000231987 	6.75727e-05 	0.000199806 	0.000763341 	
768 	0.000828927 	0.000134326 	0.000744345 	0.00163369 	
1024 	0.00180862 	0.000646242 	0.00145779 	0.00587987 	
1536 	0.00391153 	0.00110665 	0.00337537 	0.0105344 	
2048 	0.00687221 	0.00142391 	0.0060231 	0.0150427 	
3072 	0.0176178 	0.00804991 	0.0135704 	0.0629527 	
4096 	0.0318683 	0.0137456 	0.0249944 	0.0954307 	
